AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,CRM,CRM,CRM,CRM,CRM,MRNA,MRNA,MRNA,MRNA,MRNA,MSFT,MSFT,MSFT,MSFT,MSFT,NIO,NIO,NIO,NIO,NIO,NNDM,NNDM,NNDM,NNDM,NNDM,NVDA,NVDA,NVDA,NVDA,NVDA,PFE,PFE,PFE,PFE,PFE,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
156.41,156.73,152.62,152.93,24086204,1681.0,1681.8668,1610.2,1628.398,5768384,150.34,151.38,147.4,148.47,4110172,16.62,16.6345,15.35,15.5601,630165,106.75,107.1,104.86,105.315,23461439,6.63,6.67,6.51,6.565,6075558,1.32,1.34,1.24,1.25,59797,155.71,156.18,147.5507,148.2887,14970113,42.41,42.69,41.93,42.12,20122044,304.82,308.0,295.5,298.18,11524285
154.15,155.14,151.7,153.6799,20246607,1655.99,1657.43,1612.0,1636.55,4758701,149.73,150.8,147.65,149.4,2838306,15.82,15.92,14.76,14.82,622853,106.2,107.04,105.34,106.54,21504900,6.63,6.785,6.47,6.53,5446786,1.24,1.29,1.24,1.26,29758,151.0,154.58,148.03,149.15,13153571,41.99,42.2,41.55,42.12,18714576,292.5,294.5,281.69,287.18,11633895
154.11,154.48,151.74,152.63,20669415,1641.07,1657.2572,1631.7847,1654.97,3419975,149.95,150.5,146.52,147.18,4863005,14.9,15.195,14.65,14.65,419534,106.86,107.0,105.34,106.23,20135205,6.47,6.75,6.47,6.57,5653605,1.24,1.2861,1.24,1.26,25555,152.7,158.55,152.51,157.75,15793077,41.78,41.79,40.62,40.955,28416440,283.47,293.68,279.2831,291.855,7588695
155.48,158.13,154.32,157.5,29575048,1670.0,1683.48,1661.6122,1668.6,4248850,148.53,149.89,147.55,149.555,3866280,14.8,14.86,14.4,14.84,894903,107.24,107.88,106.59,106.95,24504900,6.65,6.78,6.6,6.67,6575641,1.24,1.3,1.24,1.27,43906,155.44,160.88,151.3,159.91,28673681,41.1,41.25,40.505,40.58,26740349,294.39,298.5195,289.55,297.0,6831199
155.79,156.28,153.66,156.0878,22270959,1644.62,1645.0,1614.09,1636.185,4294355,148.17,148.2,146.1,147.155,2943420,14.84,14.84,14.45,14.46,542322,106.26,106.48,104.66,105.015,25364435,6.56,6.68,6.48,6.67,4915466,1.3,1.32,1.26,1.28,46683,136.55,141.64,131.0,137.88,58162731,40.5,40.53,39.48,39.5189,33374423,292.91,297.46,287.75,296.38,6123573
156.25,158.13,154.11,154.5,30723484,1631.27,1632.38,1590.72,1592.73,4087240,147.07,148.0,144.6414,144.97,3397936,14.46,14.875,14.45,14.63,583075,104.88,104.97,102.17,102.89,27146195,6.68,6.97,6.64,6.93,12271889,1.23,1.2399,1.11,1.145,204562,136.15,138.1,131.01,131.555,26113336,39.5,40.85,39.47,40.8,42745471,295.27,298.5566,291.8,297.18,4359468
163.25,166.15,160.23,165.49,49026033,1622.09,1676.95,1619.68,1670.2312,4779035,147.19,149.69,146.08,149.12,3845936,14.72,15.545,14.65,15.12,640176,104.62,106.36,104.33,106.28,33864443,6.94,7.515,6.92,7.43,23735961,1.1,1.11,0.93,1.06,604331,134.67,137.97,131.46,137.16,19858426,40.77,41.75,40.73,41.52,27193746,300.45,308.8531,298.49,308.705,7828001
166.11,169.0,164.56,166.6249,31699885,1691.87,1736.411,1679.0822,1720.41,7804004,149.02,153.38,148.71,151.85,7401096,15.24,17.48,15.24,16.59,2220236,103.8,105.22,103.18,104.4575,44935530,7.4,7.89,7.4,7.87,19984502,1.02,1.03,0.9481,0.97,422153,137.06,145.19,136.3832,143.64,19651776,41.38,42.62,41.35,42.535,27762849,301.0,311.5636,294.0,307.0679,11706783
166.96,168.98,165.93,166.62,25342728,1637.8,1673.06,1622.01,1623.8,10364406,152.4,155.78,151.07,155.725,5178062,16.8,17.0075,15.9,16.24,609970,103.775,104.0999,102.35,102.625,26737879,7.85,8.11,7.68,7.8501,20215068,0.73,0.8702,0.7052,0.8534,2467540,144.5,146.79,142.58,144.665,13922774,42.87,43.12,40.9856,42.855,21024022,305.42,316.1,303.5,312.1801,6978985
167.41,171.655,167.28,170.99,26912592,1623.0,1649.63,1613.5,1630.5,4434619,156.02,158.8998,155.41,157.38,4550184,16.22,16.49,15.95,16.26,279552,102.87,105.77,102.77,105.62,23658120,7.96,7.98,7.74,7.84,7762024,0.903,0.92,0.88,0.908,1010839,145.37,150.68,144.48,149.01,12236632,42.84,42.84,41.96,42.37,14607778,312.98,315.3,301.88,312.465,7019206
172.86,175.08,172.3501,174.01,31860037,1643.34,1665.26,1642.5,1656.87,3853990,158.34,159.88,157.815,158.77,4000272,16.29,17.49,16.2075,17.21,620080,106.06,107.27,105.96,107.11,20654191,7.71,7.96,7.61,7.87,8739312,0.9248,0.9248,0.85,0.8702,415283,149.66,151.43,148.3,149.8,12627154,42.43,42.73,42.09,42.125,16162098,312.37,322.44,312.2494,321.37,6415638
