AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,CRM,CRM,CRM,CRM,CRM,MRNA,MRNA,MRNA,MRNA,MRNA,MSFT,MSFT,MSFT,MSFT,MSFT,NIO,NIO,NIO,NIO,NIO,NNDM,NNDM,NNDM,NNDM,NNDM,NVDA,NVDA,NVDA,NVDA,NVDA,PFE,PFE,PFE,PFE,PFE,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
195.34,197.69,190.78,191.06,38334323,1810.17,1818.98,1763.11,1764.06,5841108,165.96,166.49,161.35,161.52,4370572,19.38,19.7,18.75,19.0,480806,119.5,119.59,117.04,117.05,26750164,5.8,5.87,5.6,5.62,24020700,0.7538,0.7739,0.74,0.7455,34945,182.84,184.7997,176.94,177.5,17701920,42.2,42.62,41.825,41.855,15823397,272.58,272.8,264.0,264.64,8299079
191.55,191.98,186.6,188.77,40742481,1757.79,1782.675,1747.5,1774.07,4735693,160.23,161.5988,159.2241,160.89,2935979,19.0,19.59,18.21,19.41,622492,116.56,118.01,116.3224,117.65,22936587,5.62,5.66,5.27,5.345,38184414,0.75,0.75,0.72,0.723,128004,175.86,178.45,171.11,173.78,12200336,41.81,42.15,41.67,41.89,14762257,259.71,263.18,254.46,260.49,9687165
191.64,192.88,184.58,186.79,43454017,1792.85,1805.77,1773.3597,1784.47,4486129,161.43,162.07,157.39,159.37,6523271,19.61,19.94,19.24,19.91,361822,118.62,118.705,116.85,117.93,22681905,5.2,5.22,4.9,4.97,64308300,0.7398,0.7398,0.7,0.701,228225,179.47,181.75,174.5969,176.95,16604415,42.2,42.7,42.13,42.41,16057078,264.44,270.26,264.43,267.7602,7062104
188.75,189.76,186.55,188.47,26586290,1784.13,1787.5,1745.68,1766.0,3998643,159.0,159.3,152.37,155.08,7679910,20.08,20.08,18.89,19.26,537035,117.875,118.21,115.5215,116.77,18543485,5.01,5.19,4.96,4.98,37379306,0.7281,0.7281,0.69,0.702,88121,177.95,179.77,173.7,176.59,11150812,42.34,42.64,41.92,42.03,14331319,268.75,275.36,268.1838,274.9,8402247
188.95,189.559,187.53,188.71,19309376,1770.0,1777.93,1753.47,1773.67,2819446,155.69,156.48,153.51,155.19,4147860,19.3,19.7398,19.0001,19.705,402148,117.44,117.58,116.13,116.94,15494458,5.04,5.17,4.93,4.9901,27670360,0.74,0.74,0.67,0.6789,136789,177.55,179.9,175.11,177.22,10912477,42.18,42.3651,42.06,42.29,13383001,277.16,280.33,275.1,278.58,6404454
189.99,190.08,188.54,189.94,18489986,1786.58,1792.86,1776.63,1781.09,2744465,156.87,158.5,155.425,158.42,4071317,19.87,20.8,19.47,20.32,615980,118.07,118.32,116.96,117.95,16128389,5.06,5.13,5.03,5.09,21406871,0.696,0.72,0.6801,0.7099,71218,179.94,180.54,177.91,179.58,10014449,42.4,42.58,42.1929,42.47,14259325,278.7,280.16,274.5,279.75,5650129
191.64,191.68,188.38,191.24,12098014,1800.11,1815.67,1798.73,1814.36,2005504,160.1,161.48,158.5111,161.19,1757924,20.54,20.915,20.04,20.58,280667,118.95,119.1085,118.1,119.02,8128294,5.29,5.4,5.14,5.21,17223757,0.74,0.74,0.706,0.7158,55864,183.26,183.33,180.3745,182.31,5638071,42.58,42.93,42.55,42.84,6746561,282.62,289.2,281.281,289.18,3667993
191.09,194.46,191.05,194.04,19797454,1811.93,1820.0,1805.121,1814.0,3098296,160.86,160.99,158.91,160.52,2894275,20.68,20.68,19.54,19.68,564789,119.06,119.48,118.52,119.18,13361925,5.43,5.61,5.345,5.39,51027956,0.8,0.81,0.7516,0.783348,216073,183.25,184.7887,181.52,183.0,10497755,42.95,43.18,42.74,42.91,14366688,288.3,289.44,283.88,285.85,5150050
193.25,196.5,193.15,195.35,19793141,1826.72,1830.0,1809.62,1820.41,3637589,161.78,163.14,160.65,162.62,3415184,19.92,21.67,19.81,21.29,936807,119.86,120.43,119.15,119.97,17563298,5.55,5.58,5.23,5.32,32646817,0.75,0.78,0.75,0.7503,127484,185.0,191.0,184.8,188.62,18538763,42.99,43.07,42.55,42.83,12955896,287.32,296.17,287.17,291.76,7566626
194.79,196.37,193.14,195.72,17091108,1820.65,1828.75,1804.2,1819.51,3318144,162.71,162.8,155.83,158.49,6007449,21.12,23.18,21.04,23.08,1727274,120.1,120.23,118.38,119.33,17625872,5.39,5.5,5.27,5.3586,27507988,0.76,0.7849,0.74,0.766677,103149,188.0,189.97,185.73,188.285,10528743,42.79,42.92,42.5,42.75,10814890,261.69,271.2,260.59,267.8,21128569
196.45,197.1,195.93,196.97,15842943,1829.0,1838.58,1825.19,1837.65,3186217,159.63,160.24,158.02,158.56,3910123,23.8,26.23,22.6648,26.05,2017803,119.39,120.23,119.37,119.88,13035577,5.37,5.4,5.31,5.36,14395273,0.78,0.7848,0.7502,0.7676,50537,190.0,191.65,188.53,190.95,10573311,42.98,43.28,42.89,42.99,12303262,269.86,276.1,266.11,274.96,12356211
196.42,200.23,196.34,200.08,23231403,1833.23,1850.2,1825.11,1849.679,3432186,158.4,158.79,156.45,158.43,2581755,25.9,29.79,25.6,27.24,2595301,119.81,120.02,118.64,119.89,12337365,5.33,5.38,5.25,5.3,14804027,0.8,0.8,0.7501,0.77,46818,189.72,192.8,188.75,191.78,9843898,43.07,43.28,42.91,43.13,10736379,277.69,281.16,270.44,273.15,9847191
200.32,202.85,199.23,199.5,32840959,1845.49,1853.09,1831.78,1836.52,3300977,157.04,158.3525,156.65,156.98,5000738,27.3,28.4,26.3105,26.82,1020086,118.63,119.54,118.58,119.31,14437011,5.28,5.28,5.06,5.08,30262299,0.751,0.7859,0.705,0.7859,46162,190.44,190.89,187.56,189.28,10074586,42.98,43.0,42.58,42.84,13959640,271.65,275.0,269.61,272.4,5631504
198.68,200.74,198.18,200.66,19861942,1841.0,1848.0,1828.81,1847.33,2766747,158.2,160.38,157.65,160.28,3137346,26.9,27.74,26.5,26.8,612547,119.76,120.35,119.54,120.22,12397296,5.06,5.11,4.96,5.04,23331081,0.751,0.7815,0.75,0.755,44935,189.23,193.14,189.0,192.149,10338210,42.92,42.92,42.6467,42.75,10000332,276.74,278.38,272.8925,276.05,6371614
200.85,201.0,198.4431,198.95,17931789,1848.7,1849.95,1840.31,1844.5,2412329,160.16,160.83,159.02,160.77,2279905,26.82,26.9899,24.26,25.64,985714,120.54,120.85,119.92,120.33,12121919,5.0,5.085,4.97,5.01,15830137,0.77,0.77,0.711,0.7212,60730,192.2,193.47,189.55,191.51,8933563,42.79,42.83,41.99,42.26,14092656,268.3,270.5,265.6,268.4498,8812029
199.2,200.14,196.21,198.88,24667735,1848.4,1851.5,1841.3,1842.96,2598729,162.0,162.5,159.5,160.73,2316378,26.0,26.0512,24.27,24.57,686759,120.64,120.98,120.37,120.96,15152387,5.03,5.06,4.95,4.98,14036170,0.72,0.7401,0.72,0.7401,30091,193.1,193.26,189.66,190.0,9963388,42.34,42.34,41.58,41.715,17737698,270.22,271.95,266.83,267.68,6514945
198.58,199.85,198.01,199.23,14551176,1842.0,1846.85,1818.9,1844.85,3271660,161.0,162.031,159.49,160.09,2236894,24.99,25.94,24.62,25.85,559492,120.94,121.58,120.57,121.06,12425436,4.99,5.0,4.72,4.77,25228910,0.76,0.76,0.73,0.7423,27638,189.7,189.9,183.1,184.7,9914545,41.86,42.12,41.47,42.09,12795814,268.63,268.88,258.63,266.38,9569374
199.46,201.37,198.56,199.25,24002891,1851.31,1869.77,1848.0,1862.92,2788392,160.04,160.26,157.7501,158.73,2716684,26.0,26.22,23.65,23.82,917849,121.64,121.65,120.1,120.79,12160306,4.8,4.81,4.43,4.45,44588457,0.76,0.76,0.7201,0.7375,53780,186.28,188.97,184.9641,188.28,8421064,42.22,42.3,40.83,40.91,23214415,265.75,275.0,264.72,273.31,6865386
199.54,203.38,198.61,203.12,27366117,1872.5,1876.473,1860.44,1864.82,2588487,159.05,159.05,155.07,155.32,4366630,24.0,24.12,22.3135,23.55,904459,121.24,121.85,120.54,121.75,16079497,4.6101,4.72,4.51,4.59,25605184,0.76,0.76,0.712,0.73,61384,189.62,190.46,186.39,187.27,7377013,40.9,41.0,39.39,39.87,36813228,274.75,274.79,268.535,271.219,4932059
203.12,204.15,202.52,203.86,21928367,1866.2,1870.82,1859.48,1861.4,2613709,154.9,156.2078,153.17,156.0,3888784,23.47,23.55,22.43,22.53,699753,122.22,123.52,121.3018,123.37,26027150,4.53,4.92,4.44,4.785,29606811,0.73,0.7499,0.7,0.7,104349,187.56,188.93,185.18,186.3,8621013,39.93,39.93,38.42,39.38,44456368,271.23,274.84,269.75,273.26,5644604
202.83,204.94,202.34,204.64,13720923,1855.4,1888.42,1845.64,1888.04,3196934,155.45,159.14,155.28,158.79,2381611,22.7,23.99,22.5105,23.625,476144,122.62,124.0,122.57,123.76,13019059,4.74,4.81,4.62,4.78,11751289,0.74,0.75,0.725,0.7321,56689,185.35,189.1,184.08,188.45,6046367,39.03,39.5,38.81,38.97,24807861,269.0,269.68,262.48,262.8943,11419980
204.43,207.75,203.9,207.51,19401417,1891.2,1929.26,1889.58,1924.17,4123487,159.76,161.4,158.41,161.21,3104255,23.73,24.9833,23.73,24.74,602410,124.1,128.28,123.83,125.44,20090478,4.82,4.92,4.73,4.82,14072986,0.76,0.7799,0.71,0.7799,70882,189.0,191.93,188.61,190.67,7409773,39.09,39.64,38.88,39.42,19984482,260.15,265.6,255.75,263.98,10233659
207.36,208.48,207.05,207.18,14914939,1925.1,1929.69,1898.16,1900.88,3044542,161.88,162.49,159.4,159.56,2969229,24.8,25.76,24.29,25.75,656972,125.79,125.85,124.52,125.09,21670672,4.79,5.01,4.75,5.0,19348045,0.78,0.78,0.74,0.7595,38319,191.09,192.81,188.64,191.17,7074012,39.5,39.64,39.16,39.385,13277122,263.85,265.32,258.0,258.6906,8333946
206.83,207.76,205.12,205.24,15908807,1917.0035,1922.45,1900.31,1902.16,4154636,162.0,163.89,161.0,163.11,4836788,25.76,26.72,25.43,25.74,587903,130.06,131.37,128.83,129.08,33687312,5.01,5.15,4.85,4.89,20482419,0.7899,0.7899,0.7401,0.7539,13101,189.55,190.45,183.7,186.84,10727204,39.25,39.825,39.165,39.62,13847031,255.03,259.0,246.07,247.573,20585363
204.9,205.0,202.12,204.29,16315669,1928.69,1951.0,1898.0,1950.9,7614548,162.42,166.06,161.28,166.0,3012836,25.83,27.3,25.69,26.17,585799,129.7,130.5152,129.02,129.89,19067688,4.85,4.93,4.77,4.91,10983152,0.75,0.7699,0.7499,0.75,23605,180.79,180.8876,173.3,178.09,20542879,39.67,39.99,39.445,39.96,15240201,246.5,246.68,231.13,235.04,21168499
204.4,205.97,203.86,204.61,19641066,1949.0,1956.335,1934.09,1939.0,3542692,166.71,167.56,165.33,165.36,3874794,26.28,27.2,24.9708,25.15,1031992,129.9,130.18,129.35,129.74,13768507,4.89,5.05,4.87,4.98,13029190,0.76,0.76,0.72,0.73,107386,178.41,180.45,175.5,179.36,8919651,39.97,40.02,39.27,39.61,17639688,235.86,243.98,232.17,241.4375,15899607
203.06,203.4,199.11,200.57,35362106,1930.12,1935.71,1906.95,1926.53,3106108,165.19,166.44,163.62,165.28,2880093,25.28,26.03,25.0,26.03,529436,129.81,130.7,129.3947,130.58,19549110,4.98,5.08,4.8,4.85,14130655,0.75,0.76,0.73,0.7301,357187,178.03,182.03,177.26,181.09,8310874,40.4,41.18,39.8,40.58,25569997,242.0,244.21,237.0,238.69,9026387
209.88,215.31,209.23,210.52,57751414,1933.09,1943.64,1910.55,1911.29,2814558,166.01,166.22,162.14,162.14,2318142,26.31,27.09,25.87,26.39,1109725,130.53,130.65,127.7,127.8768,23607029,4.84,4.85,4.69,4.6962,12052609,0.75,0.75,0.7108,0.7302,63650,183.11,184.81,180.46,180.47,8264646,40.59,40.9199,40.17,40.76,14500134,239.0,240.0,231.5,234.01,10324457
209.84,212.65,208.13,209.17,29014844,1913.33,1921.55,1881.87,1901.72,3641665,161.69,162.7,159.63,161.82,3004890,26.33,28.4897,26.19,28.33,1063452,127.98,128.0,125.52,126.2,24625810,4.74,4.75,4.5733,4.74,13548124,0.7496,0.7499,0.7,0.71944,92508,180.86,184.87,179.115,183.19,9268721,40.81,41.02,40.575,41.01,14917227,245.52,247.13,237.72,244.08,14881930
210.74,211.84,210.23,211.78,17987793,1949.0,1964.4,1936.0,1961.76,5687567,162.58,163.5,160.86,163.35,2836600,28.89,28.95,26.85,27.209,829010,127.36,129.43,127.25,128.89,21930200,4.73,5.11,4.73,5.015,24696530,0.745,0.745,0.712,0.7201,33219,183.53,183.93,180.53,183.0,7697286,41.22,41.495,41.03,41.37,14606978,243.86,256.61,243.49,255.04,21063497
204.29,208.84,203.5,208.6,28949691,1917.98,1959.0,1910.5,1950.29,4911645,158.62,162.84,157.86,162.54,2271580,26.38,27.81,26.25,27.1,652850,126.39,128.56,126.11,128.16,19544222,4.72,4.88,4.69,4.87,14235151,0.75,0.75,0.71,0.7348,81533,175.5,180.34,174.0,179.88,9872771,40.91,41.77,40.84,41.65,19314031,250.1,258.3499,248.5,255.335,9546203
205.88,207.4175,200.825,202.86,34328425,1939.99,1949.1005,1903.3795,1922.58,5451477,161.33,161.67,154.75,156.86,5562582,27.18,27.2555,24.16,24.56,1034905,126.46,127.18,124.22,125.57,29045897,4.81,4.92,4.76,4.84,11005173,0.735,0.735,0.71,0.73,36619,177.9,177.9,171.17,173.2,12958419,41.39,41.71,40.5,40.82,21753507,256.8,257.21,245.1,247.06,9542822
201.9,205.34,201.75,202.9,22729670,1918.87,1935.37,1910.0,1916.85,3650183,157.11,157.93,155.04,156.87,3757458,23.7,26.0,23.53,23.53,1011418,125.44,126.37,124.75,125.44,20819937,4.79,4.81,4.56,4.565,18495530,0.74,0.74,0.7,0.7219,65150,172.0,177.15,171.52,173.88,9519496,40.8,41.03,40.44,40.96,18202025,246.94,250.599,244.2,244.76,5757805
200.4,201.68,196.66,200.72,32427147,1900.98,1909.4,1876.0,1900.01,4928658,154.65,157.1,152.3888,156.31,5469835,23.5,24.0,22.75,23.31,513823,124.29,125.79,123.57,125.51,23111514,4.54,4.7,4.51,4.6,15084596,0.7219,0.7219,0.68,0.6907,76818,171.14,171.53,165.4,170.2,15210350,40.3,40.84,40.23,40.64,16530815,242.0,243.68,236.9434,241.98,6455536
197.419,198.85,192.77,197.3,36118438,1898.0,1903.79,1856.0,1889.98,5355441,156.28,160.614,154.38,159.95,4073722,23.04,24.93,22.8,24.87,531260,124.91,127.93,123.82,127.19,26418546,4.6,4.66,4.51,4.57,16124541,0.7,0.7,0.68,0.683,65567,168.95,171.59,164.0,168.84,13431157,40.63,40.8187,39.865,40.73,13876483,239.75,241.99,236.02,239.51,6716345
187.71,189.48,182.85,185.72,50491792,1837.11,1846.535,1818.0,1822.62,5312153,154.92,156.9,152.78,153.11,5314622,24.46,24.77,23.225,24.45,474907,124.11,125.55,123.04,123.31,28096397,4.5,4.5,4.3,4.32,20397457,0.69,0.7036,0.67,0.6732,102259,163.5,164.43,157.81,158.4,15237942,40.23,40.65,40.15,40.6,22155234,232.01,232.47,224.5,227.01,10159046
186.41,189.7,185.41,188.65,31498214,1839.9,1852.44,1815.75,1840.05,4179780,155.05,158.59,152.92,158.05,4451058,24.5,24.8899,23.57,23.59,468526,123.87,125.88,123.7,124.72,20940204,4.47,4.67,4.41,4.67,25588545,0.6702,0.7036,0.6702,0.6781,36901,160.05,163.46,158.4904,162.03,11880961,40.59,40.87,40.56,40.66,22546263,229.3,234.5,228.0,232.12,6820595
186.27,191.75,186.02,190.92,23655393,1827.95,1874.427,1823.0,1871.12,4294255,153.82,156.38,151.7,155.07,7175841,23.46,23.84,22.81,23.01,736219,124.26,126.71,123.7,126.05,21509877,4.59,4.75,4.53,4.72,12809769,0.69,0.69,0.6506,0.66,152995,159.8,161.05,157.41,159.58,11795028,40.86,41.29,40.7,41.16,28511588,229.32,232.44,225.25,231.92,6908252
189.91,192.4689,188.84,190.14,28660083,1885.9,1917.51,1882.29,1907.86,4317968,156.76,159.45,155.9,158.52,4495866,23.5,24.05,23.15,23.49,531694,126.75,129.38,126.46,128.95,24762656,4.65,4.85,4.61,4.67,14640761,0.66,0.68,0.65,0.6589,190708,159.36,161.905,157.65,160.24,14574384,41.15,41.98,40.72,41.65,21256793,229.49,231.0,226.5,228.245,7023216
186.93,190.9,186.76,188.98,29246990,1893.05,1910.53,1867.33,1867.99,4384715,156.18,157.155,153.17,154.53,4847807,23.31,23.4291,21.68,23.02,1264922,128.305,130.46,127.92,128.07,23154739,4.58,4.7,4.42,4.42,18101087,0.68,0.68,0.58,0.5956,306759,158.5,163.71,154.94,156.535,23647437,41.3,41.81,41.25,41.46,22548073,221.96,222.24,208.92,211.0731,16740523
183.52,184.349,180.2839,183.09,33285709,1852.69,1867.78,1835.54,1858.04,3483969,152.47,156.09,151.7044,155.89,4609728,22.85,23.6,22.55,22.6,549658,126.52,127.5894,125.7607,126.2,18433566,4.38,4.4,4.11,4.25,21615236,0.62,0.6266,0.57,0.575,51987,152.52,154.77,150.75,151.67,13328703,41.4,41.71,41.28,41.58,18774384,202.8,206.0,195.25,205.34,19451274
185.22,188.0,184.7,186.59,23901501,1874.79,1879.0,1846.0,1858.11,3603729,157.36,157.84,155.18,155.79,3280197,22.65,23.16,22.43,22.71,471239,127.43,127.5273,126.58,126.9,12132102,4.35,4.45,4.25,4.28,21857443,0.583,0.583,0.55,0.569169,110448,154.2,155.7,152.64,155.06,8371896,41.71,41.81,41.485,41.66,23648077,197.76,207.4,196.04,204.97,16693973
184.66,185.71,182.55,182.79,26540561,1851.22,1871.485,1851.0,1859.425,2647140,155.87,158.19,155.84,157.67,2775727,22.65,22.7677,21.93,21.95,511272,126.62,128.24,126.52,127.66,12781907,4.25,4.3,4.0,4.05,33661708,0.58,0.58,0.53,0.55,90010,153.5,154.55,151.76,152.2,7362146,41.69,42.21,41.55,41.99,20216219,199.1,203.94,191.78,192.69,17656779
179.8,180.54,177.81,179.67,31272923,1837.0,1844.0,1804.2,1815.67,4041503,156.03,156.34,152.15,153.73,4016435,21.75,21.94,21.01,21.38,625643,126.2,126.29,124.74,126.18,20026729,3.96,4.03,3.83,3.92,24547116,0.546,0.5527,0.53,0.5342,49566,149.69,149.69,144.9112,147.37,12170213,41.84,41.98,41.645,41.92,18618254,194.34,199.465,186.22,195.48,23374971
180.2,182.14,178.62,179.06,21514327,1835.89,1841.76,1817.851,1823.3,3096132,154.89,156.93,154.16,154.59,2856661,21.56,22.0,21.41,21.81,533684,126.91,127.415,125.97,126.23,12380286,3.98,4.045,3.81,3.86,23659918,0.55,0.550388,0.5,0.52,108111,148.08,149.5,144.88,145.13,8094214,42.06,42.305,41.865,41.97,12263983,199.83,199.98,188.7505,190.7257,13302938
178.9,180.59,177.91,178.17,22515281,1832.35,1849.2668,1827.35,1836.56,2861458,155.35,157.81,154.39,155.15,3779542,22.3,22.46,21.44,21.54,445658,126.94,128.0,126.05,126.05,15677726,4.12,4.14,3.88,3.98,54283528,0.53,0.53,0.5051,0.5101,42150,145.86,147.18,143.25,143.3,9185563,42.15,42.48,41.89,41.9,18987399,191.2,195.0,187.85,188.72,9777919
176.42,179.35,176.0,177.35,26177083,1823.18,1830.0,1807.5327,1820.2,3730772,153.76,154.06,151.2,152.84,3938289,21.71,21.898,21.16,21.77,361644,125.38,125.39,124.04,124.94,19094366,3.89,3.9,3.6,3.6,38466482,0.55,0.5527,0.4901,0.496517,70851,141.41,142.82,138.94,140.31,13056864,41.7,41.84,41.28,41.71,18942344,187.1,192.39,185.0401,189.89,11256907
177.95,179.23,176.67,178.25,19579368,1824.31,1829.47,1807.825,1815.81,2934611,154.32,155.87,153.9,155.65,4096211,21.84,21.9,21.05,21.56,356004,125.26,125.76,124.78,125.73,14940725,3.55,3.5507,3.11,3.24,52142841,0.51,0.5201,0.495,0.5,50526,140.31,141.7499,137.57,139.11,9231333,41.68,41.95,41.58,41.9,14891150,188.75,192.255,187.02,188.18,7409500
176.22,177.985,174.99,175.0,22909538,1790.01,1795.585,1772.7034,1775.07,3916862,152.66,154.48,151.26,151.44,4660799,21.16,21.38,20.74,20.74,419877,124.23,124.615,123.32,123.59,19067178,3.07,3.15,3.0,3.03,36395893,0.48,0.48,0.48,0.48,100,137.14,139.8548,135.39,135.46,8923463,41.69,41.98,41.45,41.52,15783376,185.1,189.9204,184.1,185.48,9599948
175.6,177.92,170.27,173.28,36721281,1760.01,1766.29,1672.0,1692.76,8372675,150.7,150.7,143.39,145.03,8034617,20.79,20.99,18.82,19.94,1014589,123.85,124.37,119.01,119.88,33076693,2.98,3.06,2.74,2.96,45795650,0.5,0.541,0.4901,0.5354,574594,135.91,137.47,132.6,133.78,10726924,41.63,42.19,41.57,41.93,16628367,185.51,186.68,176.9919,179.01,12380263
175.44,179.83,174.52,179.67,27174311,1699.24,1730.82,1680.89,1730.18,5141474,146.05,150.81,142.51,150.72,9716082,19.76,20.74,19.23,19.5,1090058,121.27,123.28,120.6522,123.2,23847973,3.0,3.11,2.97,3.05,27375841,0.502,0.52,0.4901,0.4979,290251,136.36,143.21,135.4675,143.02,14720697,42.48,42.75,42.04,42.23,13447226,181.1,193.98,179.61,193.91,13115692
184.28,184.99,181.14,182.541,26260553,1749.6,1752.0,1715.2513,1739.48,3781000,157.15,158.5,154.55,158.41,10932400,19.2,19.25,17.2,17.7,3921369,124.95,125.87,124.21,125.83,20223894,3.07,3.09,2.76,2.8366,34049027,0.5,0.5,0.45,0.47,227799,145.97,146.19,139.82,141.33,11895232,42.6,42.84,42.405,42.51,15707634,198.47,201.2782,191.8486,196.677,12570739
183.08,185.47,182.1489,185.23,18504740,1737.71,1759.99,1726.13,1754.6292,3355072,158.5,160.0,157.33,159.37,5072387,17.83,18.921,17.61,17.94,6006845,126.44,127.97,125.6,127.9,17659237,2.9,2.9,2.54,2.645,48054297,0.4715,0.49,0.45,0.4639,124692,141.45,144.77,141.35,143.79,9383417,42.8,43.085,42.48,42.76,17604218,204.25,211.0,201.8,206.08,19472101
186.51,191.92,185.77,190.14,26413228,1762.4,1806.2538,1759.49,1804.02,4065603,159.84,162.99,159.5,161.22,6613271,17.71,18.4,17.3,17.52,1863921,129.19,132.25,128.26,131.4,28442880,2.64,2.81,2.55,2.77,28485182,0.45,0.46395,0.45,0.453,132568,144.02,146.88,143.25,145.5,7976292,42.98,43.245,42.86,42.92,14793655,205.0,210.8438,203.499,204.39,14897026
191.81,195.37,191.62,192.52,23763115,1822.0,1884.87,1818.0,1860.63,4968998,153.48,157.45,150.83,152.8,27741786,17.85,17.99,15.67,15.68,2498230,132.4,134.08,132.0,132.6,23572989,2.75,2.82,2.59,2.63,31035869,0.48,0.48,0.4246,0.4332,245398,147.76,151.19,147.76,148.45,9003749,43.24,43.24,42.67,43.05,12260207,210.47,216.94,209.01,212.88,9978622
194.82,196.0,193.6,194.81,22631965,1883.25,1893.7,1858.0,1863.7,3629018,155.31,155.71,148.79,150.05,14353316,16.09,16.88,15.75,16.09,5371398,133.88,134.24,131.2757,132.1,18628257,2.67,2.67,2.55,2.61,30189209,0.44,0.45,0.42,0.4221,142711,150.84,152.36,149.16,150.76,8713056,43.2,43.3,42.55,42.67,15207500,219.38,220.9,213.5,217.1,10591156
193.95,195.97,193.385,194.19,16299683,1853.98,1865.0,1844.38,1855.3,2450925,151.11,152.32,150.15,151.26,6366463,16.11,16.36,15.62,16.3,2041291,131.4,131.97,130.71,131.49,14627551,2.62,2.62,2.5,2.54,26543447,0.502,0.5292,0.4501,0.469956,1533754,149.0,149.25,145.59,146.165,8124925,42.47,43.17,42.46,43.1,13780520,222.95,223.38,209.0,209.2173,14335584
194.7,196.79,193.6,194.74,35633462,1866.72,1883.09,1862.22,1870.748,4993238,152.16,152.24,150.25,151.34,4746586,16.42,17.59,16.05,16.12,3117109,131.98,133.0,131.56,132.32,29605510,2.55,2.62,2.5,2.53,19826392,0.49,0.5,0.44,0.4995,480564,147.09,149.0,146.38,148.32,13634789,43.07,43.14,42.365,42.51,11191839,210.38,214.9,207.5103,213.89,15620124
191.545,193.5863,190.3,192.745,31598181,1864.92,1876.0,1859.0,1870.17,4923087,151.04,151.98,149.48,149.9801,5424977,16.25,16.675,15.32,15.4,4001909,132.26,133.79,131.64,132.47,28380382,2.44,2.45,2.35,2.41,23858309,0.48,0.4969,0.45652,0.48,106306,144.51,145.49,142.836,144.58,17918595,42.52,42.87,42.48,42.76,9826672,211.29,216.65,210.4,214.92,14191322
192.9,194.96,192.17,193.95,12831457,1876.5,1895.688,1875.45,1886.0,2397289,150.2,151.2843,149.87,150.28,4067304,15.54,15.85,15.28,15.76,1198239,132.63,133.73,132.53,132.89,11190315,2.39,2.53,2.35,2.46,19073205,0.462,0.51,0.462,0.4988,50967,144.57,146.5206,143.65,145.02,6377529,42.7,42.9,42.35,42.87,9735624,214.73,227.0,214.27,225.03,11895515
196.0,200.29,195.21,198.5,23433567,1901.35,1921.67,1899.79,1902.15,3523736,151.88,152.95,150.5,150.6,6275901,15.9,16.19,15.5784,15.73,1062691,134.19,135.24,133.57,135.18,22259993,2.52,2.71,2.45,2.53,46879102,0.5018,0.5018,0.47,0.4921,87116,147.5,155.11,147.06,152.89,13119631,42.82,43.33,42.82,43.08,15183252,228.72,234.74,222.58,224.74,12016691
199.68,199.88,197.31,197.86,17581620,1907.84,1919.5807,1892.6223,1909.03,2565954,151.69,154.47,150.515,154.1,7398157,15.75,16.3025,15.37,15.49,2792457,135.0,135.93,133.81,135.59,17422488,2.67,2.84,2.56,2.755,40977016,0.476,0.51,0.46,0.4976,77758,154.3,154.7568,152.0738,153.11,7599144,43.17,43.585,43.09,43.49,14780966,225.11,227.77,221.06,226.33,6207071
200.37,200.61,198.03,199.3794,18470638,1933.33,1935.2,1905.8,1917.95,2858789,156.29,158.29,155.42,157.21,9186146,15.85,15.935,14.86,15.17,1588464,137.45,137.66,135.72,136.89,24413637,2.87,3.05,2.8,2.845,50784457,0.5088,0.5088,0.48,0.5,17367,156.77,157.33,153.5178,154.1,7573840,43.83,44.11,43.505,43.61,14880261,223.0,226.9,216.35,219.59,11132022
198.8,200.85,198.15,198.8,30026975,1912.5,1925.95,1907.58,1911.1,3243263,156.67,157.79,155.94,156.78,5854776,15.2,15.32,14.5,14.78,1830611,136.58,137.73,136.46,136.94,32605935,2.88,2.9,2.57,2.63,45626404,0.52,0.52,0.45,0.4962,61169,153.5,155.48,151.5,151.76,9198007,43.55,44.0,43.31,43.69,19309064,216.22,222.18,215.5,221.89,7632727
198.54,200.16,198.17,198.55,14762379,1912.66,1916.86,1901.3,1913.96,1931200,157.39,157.73,152.51,152.54,5592008,14.41,14.6906,14.02,14.04,1341208,137.27,138.4,137.0,137.79,15409700,2.61,2.685,2.51,2.64,20812076,0.498,0.52,0.4751,0.4751,17545,152.62,153.85,150.72,152.66,5678761,43.69,43.9,43.47,43.77,15164522,223.24,225.86,221.02,223.64,5459384
198.43,199.26,195.29,195.57,18361798,1911.84,1916.385,1872.42,1878.64,2712393,152.83,152.9699,148.59,149.27,6565943,14.11,14.2499,13.65,13.79,1898144,137.25,137.59,132.73,133.43,28861090,2.64,2.66,2.55,2.6,14875208,0.476,0.48,0.4556,0.465,27297,152.86,155.88,151.37,151.48,6662915,43.85,44.29,43.7234,43.78,18454847,224.39,225.34,219.49,219.77,5882114
