Date,Open,High,Low,Close,Volume
1/2/2019 16:00:00,2476.96,2519.49,2467.47,2510.03,2233765369
1/3/2019 16:00:00,2491.92,2493.14,2443.96,2447.89,2754752741
1/4/2019 16:00:00,2474.33,2538.07,2474.33,2531.94,2661709794
1/7/2019 16:00:00,2535.61,2566.16,2524.56,2549.69,2526552370
1/8/2019 16:00:00,2568.11,2579.82,2547.56,2574.41,2458286256
1/9/2019 16:00:00,2580,2595.32,2568.89,2584.96,2463516870
1/10/2019 16:00:00,2573.51,2597.82,2562.02,2596.64,2330498011
1/11/2019 16:00:00,2588.11,2596.27,2577.4,2596.26,2063515116
1/14/2019 16:00:00,2580.31,2589.32,2570.41,2582.61,2242883039
1/15/2019 16:00:00,2585.1,2613.08,2585.1,2610.3,2299611814
1/16/2019 16:00:00,2614.75,2625.76,2612.68,2616.1,2417328891
1/17/2019 16:00:00,2609.28,2645.06,2606.36,2635.96,2450727381
1/18/2019 16:00:00,2651.27,2675.47,2647.58,2670.71,2617844977
1/22/2019 16:00:00,2657.88,2657.88,2617.27,2632.9,2590517040
1/23/2019 16:00:00,2643.48,2653.19,2612.86,2638.7,2239098706
1/24/2019 16:00:00,2638.84,2647.2,2627.01,2642.33,2434655642
1/25/2019 16:00:00,2657.44,2672.38,2657.33,2664.76,2499715080
1/28/2019 16:00:00,2644.97,2644.97,2624.06,2643.85,2314399422
1/29/2019 16:00:00,2644.89,2650.93,2631.05,2640,2148988595
1/30/2019 16:00:00,2653.62,2690.44,2648.34,2681.05,2544657931
1/31/2019 16:00:00,2685.49,2708.95,2678.65,2704.1,3383825891
2/1/2019 16:00:00,2702.32,2716.66,2696.88,2706.53,2431455095
2/4/2019 16:00:00,2706.49,2724.99,2698.75,2724.87,2070561799
2/5/2019 16:00:00,2728.34,2738.98,2724.03,2737.7,2175721319
2/6/2019 16:00:00,2735.05,2738.08,2724.15,2731.61,2056291740
2/7/2019 16:00:00,2717.53,2719.32,2687.26,2706.05,2449415197
2/8/2019 16:00:00,2692.36,2708.07,2681.83,2707.88,2219273583
2/11/2019 16:00:00,2712.4,2718.05,2703.79,2709.8,1977782524
2/12/2019 16:00:00,2722.61,2748.19,2722.61,2744.73,2290316191
2/13/2019 16:00:00,2750.3,2761.85,2748.63,2753.03,2141980853
2/14/2019 16:00:00,2743.5,2757.9,2731.23,2745.73,2141245049
2/15/2019 16:00:00,2760.24,2775.66,2760.24,2775.6,2385153253
2/19/2019 16:00:00,2769.28,2787.33,2767.29,2779.76,1984414955
