#,Company,Symbol,Weight,Price,Chg,% Chg
84,Applied Materials Inc.,AMAT,0.25907,86.3,-1.2,(-1.37%)
85,Altria Group Inc,MO,0.259047,43.78,0.78,-1.81%
86,Anthem Inc.,ANTM,0.256108,308.64,-5.44,(-1.73%)
87,Stryker Corporation,SYK,0.252271,240,1.9,-0.80%
88,American Express Company,AXP,0.251572,117.51,-1.47,(-1.24%)
89,S&P Global Inc.,SPGI,0.250822,322.5,1.44,-0.45%
90,Zoetis Inc. Class A,ZTS,0.250458,163.63,0.93,-0.57%
91,Charles Schwab Corporation,SCHW,0.24839,51.98,0.2,-0.39%
92,Automatic Data Processing Inc.,ADP,0.247181,179.24,1.9,-1.07%
93,T-Mobile US Inc.,TMUS,0.245188,132.5,2.49,-1.92%
94,Cigna Corporation,CI,0.241199,197.08,-5.55,(-2.74%)
95,Prologis Inc.,PLD,0.240151,98.07,-2.51,(-2.50%)
96,Gilead Sciences Inc.,GILD,0.240095,58.95,-0.12,(-0.20%)
97,Colgate-Palmolive Company,CL,0.237271,85.93,0.27,-0.32%
98,Becton Dickinson and Company,BDX,0.233729,252.09,3.39,-1.36%
99,FedEx Corporation,FDX,0.228385,275.57,-16.69,(-5.71%)
100,Lam Research Corporation,LRCX,0.228164,482,-4.24,(-0.87%)
101,Chubb Limited,CB,0.224896,152.36,-1.05,(-0.68%)
102,CSX Corporation,CSX,0.224579,90.66,0.11,-0.12%
103,Activision Blizzard Inc.,ATVI,0.221628,90.39,1.93,-2.18%
104,Duke Energy Corporation,DUK,0.218114,90.32,-1.2,(-1.31%)
105,CME Group Inc. Class A,CME,0.214294,186.77,1.83,-0.99%
106,Autodesk Inc.,ADSK,0.211401,309.99,12.64,-4.25%
107,Crown Castle International Corp,CCI,0.211039,153.81,-1.94,(-1.25%)
108,Southern Company,SO,0.209014,60.14,-0.93,(-1.52%)
109,Dominion Energy Inc,D,0.206717,75.37,-0.56,(-0.74%)
110,Fiserv Inc.,FISV,0.206685,114.81,0.11,-0.10%
111,Truist Financial Corporation,TFC,0.205689,45.9,-1.2,(-2.55%)
112,Intercontinental Exchange Inc.,ICE,0.205239,112.83,0.04,-0.04%
113,Equinix Inc.,EQIX,0.204555,709.73,-3.01,(-0.42%)
114,U.S. Bancorp,USB,0.201143,44.86,-0.42,(-0.93%)
115,Vertex Pharmaceuticals Incorporated,VRTX,0.199713,236.77,-0.15,(-0.06%)
116,PNC Financial Services Group Inc.,PNC,0.199497,144.91,-0.11,(-0.08%)
117,Marsh & McLennan Companies Inc.,MMC,0.194902,116.27,-2.42,(-2.04%)
118,Sherwin-Williams Company,SHW,0.192968,728.23,1.98,-0.27%
119,Estee Lauder Companies Inc. Class A,EL,0.192808,261.31,-2.52,(-0.96%)
120,Illinois Tool Works Inc.,ITW,0.192169,203.88,-2.23,(-1.08%)
121,Air Products and Chemicals Inc.,APD,0.191611,269.55,0.95,-0.35%
122,Norfolk Southern Corporation,NSC,0.19081,232.39,1.7,-0.74%
123,Global Payments Inc.,GPN,0.189906,196.33,0.91,-0.47%
124,Progressive Corporation,PGR,0.182234,96.95,0.64,-0.66%
125,Ecolab Inc.,ECL,0.177346,218.58,-2.03,(-0.92%)
126,Edwards Lifesciences Corporation,EW,0.174553,86.82,0.3,-0.35%
127,Dollar General Corporation,DG,0.171595,210.48,-2.07,(-0.97%)
128,Analog Devices Inc.,ADI,0.171521,140.58,-3.2,(-2.23%)
129,General Motors Company,GM,0.171052,41.01,-1.02,(-2.43%)
130,Illumina Inc.,ILMN,0.170944,366.06,4.76,-1.32%
131,Humana Inc.,HUM,0.169597,391.62,-4.72,(-1.19%)
132,Regeneron Pharmaceuticals Inc.,REGN,0.168167,506.54,10.33,-2.08%
133,DuPont de Nemours Inc.,DD,0.165306,71.33,1.84,-2.65%
134,Boston Scientific Corporation,BSX,0.164419,35.45,0.06,-0.17%
135,Newmont Corporation,NEM,0.160414,60.5,-1.14,(-1.85%)
136,Aon Plc Class A,AON,0.158701,205.49,-5.81,(-2.75%)
137,Emerson Electric Co.,EMR,0.157173,80.9,-0.26,(-0.32%)
138,Northrop Grumman Corporation,NOC,0.15115,303.13,2.45,-0.81%
139,Kimberly-Clark Corporation,KMB,0.150661,135.08,-1.24,(-0.91%)
140,Eaton Corp. Plc,ETN,0.149483,116.08,0.79,-0.69%
141,Waste Management Inc.,WM,0.148236,117.41,-0.1,(-0.09%)
142,Moody's Corporation,MCO,0.146498,283.37,3.31,-1.18%
143,ConocoPhillips,COP,0.146371,40.98,-0.99,(-2.36%)
144,Cognizant Technology Solutions Corporation Class A,CTSH,0.143663,81.02,-0.71,(-0.87%)
145,Roper Technologies Inc.,ROP,0.143163,426.19,1.15,-0.27%
146,HCA Healthcare Inc,HCA,0.140968,164.34,-0.41,(-0.25%)
147,Twitter Inc.,TWTR,0.139352,55.87,1.24,-2.27%
148,Capital One Financial Corporation,COF,0.139282,91.57,-2.51,(-2.67%)
149,Ross Stores Inc.,ROST,0.134813,117.59,0.9,-0.77%
150,American Electric Power Company Inc.,AEP,0.134224,83.29,-0.57,(-0.68%)
