#,Company,Symbol,Weight,Price,Chg,% Chg
367,AES Corporation,AES,0.047148,22.54,0.45,-2.04%
368,AmerisourceBergen Corporation,ABC,0.04706,98.61,-0.13,(-0.13%)
369,Masco Corporation,MAS,0.046852,55.59,0.31,-0.56%
370,Brown-Forman Corporation Class B,BF.B,0.046501,79.42,0.51,-0.65%
371,Pool Corporation,POOL,0.046299,364.37,8.22,-2.31%
372,NetApp Inc.,NTAP,0.046146,64.86,0.74,-1.15%
373,Mid-America Apartment Communities Inc.,MAA,0.046098,124.04,-1.55,(-1.23%)
374,Boston Properties Inc.,BXP,0.046089,96.11,-4.31,(-4.29%)
375,Genuine Parts Company,GPC,0.045648,97.53,0.58,-0.60%
376,Tiffany & Co.,TIF,0.045548,131.1,-0.12,(-0.09%)
377,Eastman Chemical Company,EMN,0.045425,103.68,1.18,-1.15%
378,Teledyne Technologies Incorporated,TDY,0.045425,380.47,-0.46,(-0.12%)
379,Jacobs Engineering Group Inc.,J,0.045262,106.58,-0.42,(-0.39%)
380,Baker Hughes Company Class A,BKR,0.045239,21.17,-0.33,(-1.53%)
381,Leidos Holdings Inc.,LDOS,0.045226,105.67,0.84,-0.80%
382,Gartner Inc.,IT,0.045143,157.94,0.89,-0.57%
383,Omnicom Group Inc,OMC,0.044603,61.62,-1.69,(-2.67%)
384,United Airlines Holdings Inc.,UAL,0.043281,45.28,-0.6,(-1.31%)
385,Hormel Foods Corporation,HRL,0.043037,47.94,0.17,-0.36%
386,Royal Caribbean Group,RCL,0.042713,72.29,-1.65,(-2.23%)
387,Westinghouse Air Brake Technologies Corporation,WAB,0.042625,73.44,-0.09,(-0.12%)
388,J.M. Smucker Company,SJM,0.042265,115.88,0.56,-0.49%
389,Packaging Corporation of America,PKG,0.041348,134.86,-0.79,(-0.58%)
390,MGM Resorts International,MGM,0.041309,31.67,0.55,-1.77%
391,Avery Dennison Corporation,AVY,0.041111,152.96,0.73,-0.48%
392,ABIOMED Inc.,ABMD,0.040985,293.39,11.4,-4.04%
393,Cincinnati Financial Corporation,CINF,0.040861,83.04,-1.25,(-1.48%)
394,Alliant Energy Corp,LNT,0.040766,51.05,-0.68,(-1.31%)
395,Huntington Bancshares Incorporated,HBAN,0.040681,12.58,0.24,-1.94%
396,Bio-Rad Laboratories Inc. Class A,BIO,0.04059,605.87,21.63,-3.70%
397,Principal Financial Group Inc.,PFG,0.040516,47.95,-0.45,(-0.93%)
398,C.H. Robinson Worldwide Inc.,CHRW,0.040374,92.6,0.31,-0.34%
399,Jack Henry & Associates Inc.,JKHY,0.040151,161.63,-1.13,(-0.69%)
400,Evergy Inc.,EVRG,0.039977,53.35,-0.69,(-1.28%)
401,Fortune Brands Home & Security Inc.,FBHS,0.039794,89.63,0.74,-0.83%
402,Concho Resources Inc.,CXO,0.039504,59.56,-1.51,(-2.47%)
403,NortonLifeLock Inc.,NLOK,0.039395,21.24,0.68,-3.31%
404,International Flavors & Fragrances Inc.,IFF,0.039288,114.29,0.71,-0.63%
405,PulteGroup Inc.,PHM,0.038936,45.1,0.32,-0.71%
406,Atmos Energy Corporation,ATO,0.038774,95.11,-3.98,(-4.02%)
407,CenterPoint Energy Inc.,CNP,0.038755,21.87,-0.01,(-0.05%)
408,Whirlpool Corporation,WHR,0.038711,188.37,-2.38,(-1.25%)
409,Hasbro Inc.,HAS,0.038483,93.81,0.6,-0.64%
410,Raymond James Financial Inc.,RJF,0.03795,93.86,-0.91,(-0.96%)
411,DENTSPLY SIRONA Inc.,XRAY,0.037718,52.6,-0.67,(-1.26%)
412,J.B. Hunt Transport Services Inc.,JBHT,0.037479,140.46,1.75,-1.26%
413,WestRock Company,WRK,0.037282,44.62,-0.36,(-0.80%)
414,Lamb Weston Holdings Inc.,LW,0.037158,78.66,0.02,-0.03%
415,UDR Inc.,UDR,0.03641,37.01,-1.38,(-3.59%)
416,Carnival Corporation,CCL,0.036318,21.46,-0.17,(-0.79%)
417,Advance Auto Parts Inc.,AAP,0.035977,159.99,-0.35,(-0.22%)
418,Wynn Resorts Limited,WYNN,0.035784,116.8,1.99,-1.73%
419,Universal Health Services Inc. Class B,UHS,0.035193,137.29,-2.44,(-1.75%)
420,Textron Inc.,TXT,0.035039,47.37,0.38,-0.81%
421,Loews Corporation,L,0.034306,43.8,-0.61,(-1.37%)
422,Allegion PLC,ALLE,0.034166,113.75,0.93,-0.82%
423,F5 Networks Inc.,FFIV,0.033962,175.23,0.73,-0.42%
424,Live Nation Entertainment Inc.,LYV,0.033828,73.43,-0.55,(-0.74%)
425,Howmet Aerospace Inc.,HWM,0.0338,27.27,0.31,-1.15%
426,LKQ Corporation,LKQ,0.033692,36.15,-0.97,(-2.61%)
427,Host Hotels & Resorts Inc.,HST,0.032658,14.4,0.11,-0.77%
428,Lumen Technologies Inc.,LUMN,0.03212,10.16,-0.09,(-0.88%)
429,Henry Schein Inc.,HSIC,0.031873,67.78,-1.11,(-1.61%)
430,Fox Corporation Class A,FOXA,0.031786,28.16,-0.38,(-1.33%)
431,Cboe Global Markets Inc,CBOE,0.031569,90.78,1.24,-1.38%
432,Campbell Soup Company,CPB,0.031358,47.57,-0.21,(-0.44%)
433,BorgWarner Inc.,BWA,0.030886,38.62,-0.38,(-0.97%)
434,Quanta Services Inc.,PWR,0.030791,68.29,-0.53,(-0.77%)
435,Western Union Company,WU,0.03074,22.77,-0.31,(-1.34%)
436,Everest Re Group Ltd.,RE,0.030572,232.53,-2.63,(-1.12%)
437,W. R. Berkley Corporation,WRB,0.030424,66.28,-0.46,(-0.69%)
438,Snap-on Incorporated,SNA,0.03036,169.86,-1.3,(-0.76%)
439,Interpublic Group of Companies Inc.,IPG,0.02971,23.94,0.14,-0.59%
440,Globe Life Inc.,GL,0.02967,92.81,-0.62,(-0.66%)
441,Lincoln National Corporation,LNC,0.029129,48.61,-0.85,(-1.72%)
442,L Brands Inc.,LB,0.028807,38.63,-0.56,(-1.43%)
443,Pinnacle West Capital Corporation,PNW,0.028807,78.65,-0.67,(-0.84%)
444,Pentair plc,PNR,0.028731,52.26,-0.51,(-0.97%)
445,DaVita Inc.,DVA,0.02823,115.36,-0.37,(-0.32%)
446,American Airlines Group Inc.,AAL,0.027919,16.74,-0.06,(-0.36%)
447,Rollins Inc.,ROL,0.027886,40.6,0.39,-0.97%
448,Molson Coors Beverage Company Class B,TAP,0.027843,45.51,-0.46,(-1.00%)
449,NiSource Inc,NI,0.027614,22.4,-0.41,(-1.80%)
450,Iron Mountain Inc.,IRM,0.02738,29.48,-0.11,(-0.37%)
451,Tapestry Inc.,TPR,0.026688,28.86,-0.97,(-3.25%)
452,NRG Energy Inc.,NRG,0.026544,33.79,0.25,-0.75%
453,Mohawk Industries Inc.,MHK,0.026229,138.43,3.18,-2.35%
454,Mosaic Company,MOS,0.026079,23.39,0.29,-1.26%
455,CF Industries Holdings Inc.,CF,0.026019,37.64,0.1,-0.27%
456,Assurant Inc.,AIZ,0.02597,131.29,-1.08,(-0.82%)
457,Discovery Inc. Class C,DISCK,0.02539,24.52,-0.79,(-3.12%)
458,DISH Network Corporation Class A,DISH,0.02512,30.51,-0.9,(-2.87%)
459,IPG Photonics Corporation,IPGP,0.024884,216.82,-0.2,(-0.09%)
460,Newell Brands Inc,NWL,0.024749,20.6,0.51,-2.54%
461,Diamondback Energy Inc.,FANG,0.024707,46.2,-1.19,(-2.50%)
462,Regency Centers Corporation,REG,0.024286,45.93,-1.56,(-3.28%)
463,A. O. Smith Corporation,AOS,0.024243,55.64,0.38,-0.69%
464,Juniper Networks Inc.,JNPR,0.02413,22.68,0.45,-2.02%
465,Comerica Incorporated,CMA,0.023772,52.63,-0.14,(-0.27%)
466,Robert Half International Inc.,RHI,0.023163,63.05,0.7,-1.12%
467,Norwegian Cruise Line Holdings Ltd.,NCLH,0.022657,25.18,-0.23,(-0.91%)
468,Sealed Air Corporation,SEE,0.022646,45.41,0.62,-1.38%
469,Huntington Ingalls Industries Inc.,HII,0.022564,169.62,-0.85,(-0.50%)
470,Cabot Oil & Gas Corporation,COG,0.022255,16.97,-0.26,(-1.51%)
471,Zions Bancorporation N.A.,ZION,0.022249,41.08,-0.79,(-1.89%)
472,Nielsen Holdings Plc,NLSN,0.022231,20.09,0.48,-2.45%
473,PVH Corp.,PVH,0.022159,95.26,-1.14,(-1.18%)
474,Franklin Resources Inc.,BEN,0.021817,25.01,-0.15,(-0.60%)
475,News Corporation Class A,NWSA,0.021734,18.89,1.18,-6.66%
476,Invesco Ltd.,IVZ,0.021088,17.45,-0.03,(-0.17%)
477,Perrigo Co. Plc,PRGO,0.020696,46.09,-0.88,(-1.87%)
478,Kimco Realty Corporation,KIM,0.020543,14.62,-0.46,(-3.05%)
479,Federal Realty Investment Trust,FRT,0.020498,88.31,-2.42,(-2.67%)
480,Devon Energy Corporation,DVN,0.020227,15.63,-0.47,(-2.92%)
481,Alaska Air Group Inc.,ALK,0.01999,50.35,0.18,-0.36%
482,Vornado Realty Trust,VNO,0.019699,36.71,-1.67,(-4.35%)
483,Apartment Income REIT Corp,AIRC,0.019386,37.25,-1.91,(-4.88%)
484,DXC Technology Co.,DXC,0.01937,23.1,-0.29,(-1.24%)
485,Apache Corporation,APA,0.019061,15.49,-0.26,(-1.65%)
486,FLIR Systems Inc.,FLIR,0.018134,42.33,0.58,-1.39%
487,Marathon Oil Corporation,MRO,0.018004,6.73,-0.18,(-2.60%)
488,People's United Financial Inc.,PBCT,0.017743,13,0.11,-0.85%
489,Leggett & Platt Incorporated,LEG,0.017477,41.75,-0.06,(-0.14%)
490,National Oilwell Varco Inc.,NOV,0.017209,13.7,-0.23,(-1.65%)
491,Ralph Lauren Corporation Class A,RL,0.016297,101.21,0.22,-0.22%
492,Hanesbrands Inc.,HBI,0.015993,14.43,0.26,-1.83%
493,Flowserve Corporation,FLS,0.015558,37.28,-0.33,(-0.88%)
494,Unum Group,UNM,0.014969,21.63,-0.5,(-2.26%)
495,Vontier Corp,VNT,0.014656,33.91,0.41,-1.22%
496,Discovery Inc. Class A,DISCA,0.01463,27.75,-0.99,(-3.44%)
497,Fox Corporation Class B,FOX,0.014572,27.79,-0.37,(-1.31%)
498,SL Green Realty Corp.,SLG,0.014289,58.11,-2.06,(-3.42%)
499,Xerox Holdings Corporation,XRX,0.01392,22.86,-0.27,(-1.17%)
500,Gap Inc.,GPS,0.013817,20.21,-0.54,(-2.60%)
501,TechnipFMC Plc,FTI,0.013177,9.48,-0.21,(-2.17%)
502,HollyFrontier Corporation,HFC,0.01231,25.17,-0.47,(-1.83%)
503,Under Armour Inc. Class A,UAA,0.01023,17.37,-0.05,(-0.29%)
504,Under Armour Inc. Class C,UA,0.009545,15.1,-0.13,(-0.85%)
505,News Corporation Class B,NWS,0.00703,17.29,-0.3,(-1.71%)
506,Apartment Investment & Management Co Class A,AIV,0.002273,4.52,-0.13,(-2.80%)
